11-15 00:36:20 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.1424) 0 -> 0
11-15 00:39:20 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.4419) 0 -> 0
11-15 00:42:19 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.7414) 0 -> 0
11-15 00:45:19 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (11.0409) 0 -> 0
11-15 00:48:19 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (11.3404) 0 -> 0
11-15 00:51:19 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (11.6399) 0 -> 0
11-15 00:54:18 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (11.9394) 0 -> 0
11-15 00:57:18 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (12.2389) 0 -> 0
11-15 00:57:59 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (12.3073) overcast: 0.144465
11-15 00:57:59 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (12.3073) 0
11-15 01:00:18 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (12.5384) 0 -> 0
11-15 01:03:17 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (12.8379) 0 -> 0
11-15 01:06:17 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (13.1373) 0 -> 0
11-15 01:06:39 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (13.1746) 0
11-15 01:09:17 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (13.4368) 0 -> 0
11-15 01:09:34 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (13.4651) overcast: 0.311597
11-15 01:09:34 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (13.4651) 0
11-15 01:12:16 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (13.7363) 0 -> 0
11-15 01:15:16 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (14.0358) 0 -> 0
11-15 01:18:16 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (14.3353) 0 -> 0
11-15 01:21:15 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (14.6348) 0 -> 0
11-15 01:24:15 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (14.9343) 0 -> 0
11-15 01:27:15 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (15.2338) 0 -> 0
11-15 01:30:15 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (15.5333) 0 -> 0
11-15 01:33:14 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (15.8328) 0 -> 0
11-15 01:35:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (16.087) overcast: 0.165038
11-15 01:35:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (16.087) 0
11-15 01:36:14 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (16.1323) 0 -> 0
11-15 01:37:07 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (16.2214) 0
11-15 01:39:14 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (16.4318) 0 -> 0
11-15 01:42:13 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (16.7312) 0 -> 0
11-15 01:45:13 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (17.0307) 0 -> 0
11-15 01:48:13 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (17.3302) 0 -> 0
11-15 01:51:12 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (17.6297) 0 -> 0
11-15 01:54:12 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (17.9292) 0 -> 0
11-15 01:57:12 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (18.2287) 0 -> 0
11-15 02:00:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (18.5282) 0 -> 0
11-15 02:03:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (19.1248) 0 -> 0
11-15 02:05:08 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (19.9058) overcast: 0.0813196
11-15 02:05:08 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (19.9058) 0
11-15 02:06:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (20.3228) 0 -> 0
11-15 02:07:35 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (20.8868) 0
11-15 02:09:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (21.5208) 0 -> 0
11-15 02:12:10 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (22.7187) 0 -> 0
11-15 02:15:10 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (23.9167) 0 -> 0
11-15 02:18:10 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (1.11466) 0 -> 0
11-15 02:20:57 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (2.22985) overcast: 0.48012
11-15 02:20:57 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (2.22985) 0
11-15 02:21:09 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (2.31263) 0 -> 0
11-15 02:24:09 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (3.5106) 0 -> 0
11-15 02:27:09 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (4.70856) 0 -> 0
11-15 02:30:08 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (5.56775) 0 -> 0
